Country,Capital,Language,President/Leader,Tribes/Ethnic Groups,Religion,History Page (10s),Fun Facts,Famous People,Currency,Culture,Population,Population vs. Region,Population vs. Continent,Climate
Angola,Luanda,"Portuguese, Kimbundu, Umbundu, Chokwe, Kikongo",Joao Lourenco,"Ovimbundu, Kimbundu, Bakongo","Roman Catholicism, Protestantism",,,,,,,,,
Cameroon,Yaounde,"French, English",Paul Biya,"Bamileke-Bamu, Biu-Mandara, Arab-Choa, Hausa, Kanuri, Beti, Mbam","Roman Catholicism, Islam, Protestantism",,,,,,,,,
Central African Republic,Bangui,"French, Sango",Faustin-Archange Touadera,"Baya, Banda, Mandjia, Sara","Christian, Muslim",,,,,,,,,
Chad,N'Djamena,"French, Arabic","General Mahamat Idriss Deby Itno
","Sara, Kanembu, Arabs","Islam, Protestantism, Roman Catholicism",,,,,,,,,
Democratic Republic of the Congo,Kinshasa,"French, Kituba, Lingala, Swahili, Tshiluba",Felix Tshisekedi,"Mongo, Luba, Kongo, Mangbetu-Azande","Christianity, Kimbanguist, Islam",,,,,,,,,
Equatorial Guinea,Malabo,"Spanish, French, Portuguese",Obiang Nguema,"Fang, Bubi, Ndowe, Naguedambo","Roman Catholicism, Protestantism, Islam",,,,,,,,,
Gabon,Libreville,French,General Brice Oligui Nguema,"Fang, Shira-Punu'Vii, Nzabi-Duma","Protestantism, Roman Catholicism, Islam",,,,,,,,,
Republic of the Congo,Brazzaville,"French, Lingala, Kituba",Denis Sassou Nguesso,"Kongo, Teke, Mbochi","Roman Catholicism, Christianity Revivalist, Protestantism",,,,,,,,,
Sao Tome and Principe,Sao Tome,"Portuguese, Spanish, Forro, Angolar, Principense",President: Carlos Vila Nova Prime Minister: Patrice Emery Trovoada,"Mestico, Angolares, Forros, Servicais",Christianity,,,,,,,,,
